community_id,community_name,url,district,township,address,longitude,latitude,age,developer,property_company,property_type,property_fee,total_construction_area,volume_rate,total_houses,parking_space,green_rate,greet,comfort,traffic_score,metro_station_num,bus_station_num,hospital_score,level_three_num,level_two_num,level_one_num,level_comm_num,school_score,nursery_num,junior_num,middle_num,commerce_score,restaurant_num,bank_num,supermarket_num,average_price
1,莲园小区,https://shanghai.anjuke.com/community/view/1/,浦东,北蔡,莲园路518弄,31.19201016,121.5648925,1996,其它,其它,公寓,0.45,3000.0,1.4,326.0,180.0,30.0,8.0,7.0,5.0,0.0,2.0,10.0,2.0,1.0,1.0,237.0,7.0,5.0,3.0,2.0,5.0,306.0,54.0,128.0,57483
10398,由由四村,https://shanghai.anjuke.com/community/view/10398/,浦东,北蔡,严中路373弄,31.20510902,121.5448043,1997,上海由由房地产开发有限公司,上海由由物业管理有限公司,公寓,0.6,48000.0,2.0,800.0,360.0,20.0,10.0,6.0,9.0,2.0,22.0,8.0,2.0,6.0,5.0,398.0,7.0,6.0,4.0,4.0,7.0,163.0,50.0,56.0,60335
114691,紫叶路65弄,https://shanghai.anjuke.com/community/view/114691/,浦东,北蔡,沪南路1105号,31.1877828,121.5588986,1996,上海建工集团,上海绿地物业管理有限公司,公寓,1.2,9000.0,1.79,300.0,120.0,31.0,6.0,8.0,6.0,0.0,29.0,10.0,2.0,2.0,1.0,238.0,7.0,6.0,2.0,2.0,10.0,271.0,49.0,109.0,57056
114760,北中小区 ,https://shanghai.anjuke.com/community/view/114760/,浦东,北蔡,莲中路255弄,31.18952201,121.562974,1998,上海北蔡房地产发展有限公司,上海三凌物业管理有限公司,公寓,0.8,35000.0,1.7,300.0,39.0,32.0,8.0,8.0,0.0,0.0,0.0,10.0,2.0,1.0,1.0,235.0,0.0,0.0,0.0,0.0,10.0,251.0,49.0,115.0,46086
115387,莲安西路117号,https://shanghai.anjuke.com/community/view/115387/,浦东,北蔡,沪南路1105号,31.1877828,121.5588986,1996,上海建工集团,上海绿地物业管理有限公司,公寓,1.2,33500.0,1.79,560.0,180.0,31.0,6.0,8.0,6.0,0.0,29.0,10.0,2.0,2.0,1.0,238.0,7.0,6.0,2.0,2.0,10.0,271.0,49.0,109.0,41399
116729,芳草公寓,https://shanghai.anjuke.com/community/view/116729/,浦东,北蔡,芳草路260号,31.20576455,121.5692308,1995,其它,其它,公寓,0.35,33500.0,2.0,560.0,20.0,20.0,8.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,309.0,41.0,0.0,54710
117326,紫叶路152弄,https://shanghai.anjuke.com/community/view/117326/,浦东,北蔡,沪南路1105号,31.1877828,121.5588986,1996,上海建工集团,上海绿地物业管理有限公司,公寓,1.2,33500.0,1.79,1212.0,180.0,31.0,8.0,8.0,5.5,0.0,8.5,10.0,2.0,1.0,1.0,223.0,6.0,4.0,1.0,1.0,8.0,236.5,40.0,62.0,60853
117618,堆栈公寓,https://shanghai.anjuke.com/community/view/117618/,浦东,北蔡,沪南路818号,31.19228781,121.559806,1998,其它,其它,公寓,0.7,33500.0,1.7,560.0,180.0,35.0,7.0,6.0,9.0,0.0,0.0,10.0,2.0,2.0,1.0,255.0,6.0,0.0,0.0,0.0,10.0,309.0,63.0,128.0,33104
117687,紫叶路290弄,https://shanghai.anjuke.com/community/view/117687/,浦东,北蔡,沪南路1105号,31.1877828,121.5588986,1996,上海建工集团,上海绿地物业管理有限公司,公寓,1.2,15000.0,1.79,350.0,150.0,31.0,5.0,8.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,49.0,0.0,48108
118451,紫叶路128弄,https://shanghai.anjuke.com/community/view/118451/,浦东,北蔡,沪南路1105号,31.1877828,121.5588986,1996,上海建工集团,上海绿地物业管理有限公司,公寓,1.2,33500.0,1.79,560.0,300.0,31.0,6.0,8.0,6.0,0.0,29.0,10.0,2.0,2.0,1.0,238.0,7.0,6.0,2.0,2.0,10.0,271.0,49.0,109.0,59734
120,由由七村,https://shanghai.anjuke.com/community/view/120/,浦东,北蔡,严桥路240弄,31.19481733,121.5334562,1998,上海由由房地产开发有限公司,上海由由物业管理有限公司,公寓,0.6,1000.0,1.5,860.0,80.0,25.0,10.0,7.0,9.0,1.0,20.0,7.0,4.0,6.0,8.0,460.0,6.0,7.0,3.0,2.0,8.0,135.0,47.0,73.0,58698
120784,沪南公路1420弄小区,https://shanghai.anjuke.com/community/view/120784/,浦东,北蔡,沪南公路1420弄,31.04476679,121.7270495,1998,周康房地产开发有限公司,其它,公寓,0.6,33500.0,1.7,560.0,30.0,20.0,7.0,4.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,5.0,29.0,2.0,19.0,37272
120937,芳草路258弄,https://shanghai.anjuke.com/community/view/120937/,浦东,北蔡,芳草路260号,31.20576455,121.5692308,1995,其它,其它,公寓,0.35,33500.0,2.0,560.0,80.0,20.0,7.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58903
12111,芳雅苑,https://shanghai.anjuke.com/community/view/12111/,浦东,北蔡,芳华路660弄,31.20195821,121.5702429,1996,上海建工集团,其它,公寓,0.65,49000.0,1.6,760.0,340.0,28.0,10.0,7.0,8.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,230.0,27.0,67.0,59480
